day,time_years,event,spot,target_holdings,cash_before,interest,trade,fees,cumulative_fees,holdings,cash_after,portfolio,payoff,terminal_error
10,0.03968253968253968,rebalance,105.07407346634169,0.699135512959148,-65.03134250557733,-0.010323254602591689,0.010005074859190333,0.0010512739707908131,0.08640008518034077,0.699135512959148,-66.09399100494153,7.367025246656468,,
11,0.04365079365079365,rebalance,105.55061081994724,0.7232142487223323,-66.09399100494153,-0.010491942355132823,0.02407873576318431,0.0025415252675762123,0.08894161044791699,0.7232142487223323,-68.64854974014045,7.687155966190971,,
12,0.047619047619047616,rebalance,105.81098803485473,0.7407297130318535,-68.64854974014045,-0.01089746005174921,0.017515464309521223,0.0018533285844796752,0.09079493903239666,0.7407297130318535,-70.51462911325636,7.86271368941847,,
13,0.051587301587301584,rebalance,106.76726622098408,0.7673681183050751,-70.51462911325636,-0.011193686636271407,0.026638405273221588,0.002844109707508516,0.09363904873990518,0.7673681183050751,-73.37277661710866,8.557019559464905,,
14,0.05555555555555555,rebalance,105.42989511404134,0.7225455788303666,-73.37277661710866,-0.011647396851026679,-0.04482253947470849,0.004725635635563494,0.09836468437546868,0.7225455788303666,-68.66351401403176,7.514390577168086,,
15,0.05952380952380952,rebalance,106.02392117940019,0.7478018225600835,-68.66351401403176,-0.010899835521843645,0.02525624372971691,0.002677765994487226,0.1010424503699559,0.7478018225600835,-71.35485761003531,7.9300238828868,,
16,0.06349206349206349,rebalance,105.6935471356527,0.7357732490861938,-71.35485761003531,-0.0113270668243839,-0.012028573473889748,0.0012713425974372277,0.10231379296739314,0.7357732490861938,-70.0961134220199,7.6703711614240575,,
17,0.06746031746031746,rebalance,106.51326297333848,0.7821602367221574,-70.0961134220199,-0.011127250301584894,0.046386987635963606,0.004940829412610392,0.10725462238000354,0.7821602367221574,-75.05301091434448,8.257428066931354,,
18,0.07142857142857142,rebalance,107.09213782643751,0.8066345071071427,-75.05301091434448,-0.011914121875823523,0.024474270384985286,0.002621001937270342,0.10987562431727388,0.8066345071071427,-77.68854797542791,8.695665835250708,,
19,0.07539682539682539,rebalance,107.62536707639305,0.8247761906256138,-77.68854797542791,-0.012332494295150357,0.01814168351847112,0.0019525053480592039,0.11182812966533308,0.8247761906256138,-79.65533832313032,9.11150194882049,,
20,0.07936507936507936,rebalance,108.9482411766468,0.8763699843998546,-79.65533832313032,-0.012644708017441428,0.05159379377424078,0.005621053087334163,0.11744918275266725,0.8763699843998546,-85.29465717156927,10.184311248800284,,
21,0.08333333333333333,rebalance,109.6380185272059,0.8984308775800445,-85.29465717156927,-0.013539909039204689,0.02206089318018989,0.002418712615216369,0.11986789536788361,0.8984308775800445,-87.72932840844007,10.7728527930947,,
22,0.0873015873015873,rebalance,109.95028100418165,0.9096659043014925,-87.72932840844007,-0.013926395463803237,0.01123502672144805,0.0012352943451127028,0.12110318971299631,0.9096659043014925,-88.97978444336168,11.038237354510429,,
23,0.09126984126984126,rebalance,110.78628064772548,0.926945778125434,-88.97978444336168,-0.014124896302329458,0.017279873823941472,0.0019143729510164651,0.12301756266401279,0.926945778125434,-90.9101966636315,11.782678456997104,,
24,0.09523809523809523,rebalance,110.22099490292958,0.9130670720133405,-90.9101966636315,-0.014431335260376349,-0.01387870611209352,0.0015297247956403174,0.1245472874596531,0.9130670720133405,-89.3964329280472,11.242728162368024,,
25,0.0992063492063492,rebalance,111.21247399002122,0.9387533607329944,-89.3964329280472,-0.014191036231500132,0.02568628871965395,0.0028566357161346903,0.1274039231757878,0.9387533607329944,-92.27011631612953,12.130967397433622,,
