maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,contrast,batch,n_paths,difference
63,0.9,kappa_minus20,0,1,Heston_minus_BS,2,512,0.1535682525798453
63,0.9,kappa_minus20,0,1,Heston_minus_BS,3,512,0.1865618157270895
63,0.9,kappa_minus20,0,1,Heston_minus_BS,4,512,0.1467599976511883
63,0.9,kappa_minus20,0,1,Heston_minus_BS,5,512,0.14118805338038043
63,0.9,kappa_minus20,0,1,Heston_minus_BS,6,512,0.10765085928382254
63,0.9,kappa_minus20,0,1,Heston_minus_BS,7,512,0.12758640015710354
63,0.9,kappa_minus20,0,1,Adjusted_minus_Heston,0,512,-0.18861920039772165
63,0.9,kappa_minus20,0,1,Adjusted_minus_Heston,1,512,-0.16963993753700232
63,0.9,kappa_minus20,0,1,Adjusted_minus_Heston,2,512,-0.18343801609596666
63,0.9,kappa_minus20,0,1,Adjusted_minus_Heston,3,512,-0.22248444738021653
63,0.9,kappa_minus20,0,1,Adjusted_minus_Heston,4,512,-0.1702664799011321
63,0.9,kappa_minus20,0,1,Adjusted_minus_Heston,5,512,-0.15024916975585673
63,0.9,kappa_minus20,0,1,Adjusted_minus_Heston,6,512,-0.10044992775524336
63,0.9,kappa_minus20,0,1,Adjusted_minus_Heston,7,512,-0.1415279245495643
63,0.9,kappa_minus20,0,5,Heston_minus_BS,0,512,0.20318770115743262
63,0.9,kappa_minus20,0,5,Heston_minus_BS,1,512,0.171292093381702
63,0.9,kappa_minus20,0,5,Heston_minus_BS,2,512,0.1820299346879694
63,0.9,kappa_minus20,0,5,Heston_minus_BS,3,512,0.23336425750473283
63,0.9,kappa_minus20,0,5,Heston_minus_BS,4,512,0.1786332215371386
63,0.9,kappa_minus20,0,5,Heston_minus_BS,5,512,0.15462072541441946
63,0.9,kappa_minus20,0,5,Heston_minus_BS,6,512,0.11287666339546441
63,0.9,kappa_minus20,0,5,Heston_minus_BS,7,512,0.16425425337360547
63,0.9,kappa_minus20,0,5,Adjusted_minus_Heston,0,512,-0.2499985606524524
63,0.9,kappa_minus20,0,5,Adjusted_minus_Heston,1,512,-0.19965048028093613
63,0.9,kappa_minus20,0,5,Adjusted_minus_Heston,2,512,-0.220182954624557
63,0.9,kappa_minus20,0,5,Adjusted_minus_Heston,3,512,-0.29680063919692856
63,0.9,kappa_minus20,0,5,Adjusted_minus_Heston,4,512,-0.21214810919368304
63,0.9,kappa_minus20,0,5,Adjusted_minus_Heston,5,512,-0.16969011447805632
63,0.9,kappa_minus20,0,5,Adjusted_minus_Heston,6,512,-0.09836504428894242
63,0.9,kappa_minus20,0,5,Adjusted_minus_Heston,7,512,-0.19340261840209116
63,0.9,kappa_minus20,5,1,Heston_minus_BS,0,512,0.1685254358559812
63,0.9,kappa_minus20,5,1,Heston_minus_BS,1,512,0.15022967999711703
63,0.9,kappa_minus20,5,1,Heston_minus_BS,2,512,0.157714801138984
63,0.9,kappa_minus20,5,1,Heston_minus_BS,3,512,0.19241978777535723
63,0.9,kappa_minus20,5,1,Heston_minus_BS,4,512,0.1430759802835836
63,0.9,kappa_minus20,5,1,Heston_minus_BS,5,512,0.13879945227538176
63,0.9,kappa_minus20,5,1,Heston_minus_BS,6,512,0.10117351346499676
63,0.9,kappa_minus20,5,1,Heston_minus_BS,7,512,0.12778606463910958
63,0.9,kappa_minus20,5,1,Adjusted_minus_Heston,0,512,-0.19331970973467416
63,0.9,kappa_minus20,5,1,Adjusted_minus_Heston,1,512,-0.17502397236576633
63,0.9,kappa_minus20,5,1,Adjusted_minus_Heston,2,512,-0.18746361646155246
63,0.9,kappa_minus20,5,1,Adjusted_minus_Heston,3,512,-0.22970317496591386
63,0.9,kappa_minus20,5,1,Adjusted_minus_Heston,4,512,-0.16165057282295026
63,0.9,kappa_minus20,5,1,Adjusted_minus_Heston,5,512,-0.14447016105886676
63,0.9,kappa_minus20,5,1,Adjusted_minus_Heston,6,512,-0.08661324318283184
63,0.9,kappa_minus20,5,1,Adjusted_minus_Heston,7,512,-0.13830933209904256
63,0.9,kappa_minus20,5,5,Heston_minus_BS,0,512,0.19783276836702207
63,0.9,kappa_minus20,5,5,Heston_minus_BS,1,512,0.16748327474922767
63,0.9,kappa_minus20,5,5,Heston_minus_BS,2,512,0.17643081534266886
63,0.9,kappa_minus20,5,5,Heston_minus_BS,3,512,0.22842589903168525
63,0.9,kappa_minus20,5,5,Heston_minus_BS,4,512,0.16804297821272746
63,0.9,kappa_minus20,5,5,Heston_minus_BS,5,512,0.14471051934439288
63,0.9,kappa_minus20,5,5,Heston_minus_BS,6,512,0.09952818209111669
63,0.9,kappa_minus20,5,5,Heston_minus_BS,7,512,0.15605989936107006
63,0.9,kappa_minus20,5,5,Adjusted_minus_Heston,0,512,-0.2390670161716611
63,0.9,kappa_minus20,5,5,Adjusted_minus_Heston,1,512,-0.19114289065911932
63,0.9,kappa_minus20,5,5,Adjusted_minus_Heston,2,512,-0.20831027683733658
63,0.9,kappa_minus20,5,5,Adjusted_minus_Heston,3,512,-0.28692183835008905
63,0.9,kappa_minus20,5,5,Adjusted_minus_Heston,4,512,-0.1924949162474458
63,0.9,kappa_minus20,5,5,Adjusted_minus_Heston,5,512,-0.1519185991968014
63,0.9,kappa_minus20,5,5,Adjusted_minus_Heston,6,512,-0.07380932552220426
63,0.9,kappa_minus20,5,5,Adjusted_minus_Heston,7,512,-0.17736177244607884
