day,time_years,event,spot,target_holdings,cash_before,interest,trade,fees,cumulative_fees,holdings,cash_after,portfolio,payoff,terminal_error
34,0.1349206349206349,rebalance,112.25590137986708,0.9583251404356632,-96.20811104594364,-0.015272340795924842,-0.010426878205187617,0.0011704786115014267,0.13733660535494355,0.9583251404356632,-95.05407525384965,12.523577200743432,,
35,0.1388888888888889,rebalance,112.96550258803725,0.9638369732789007,-95.05407525384965,-0.015089145972578422,0.00551183284323753,0.0006226469673175778,0.13795925232226114,0.9638369732789007,-95.69243401410712,13.187894085276525,,
36,0.14285714285714285,rebalance,113.17107626950578,0.9655176257161368,-95.69243401410712,-0.015190480802154906,0.0016806524372360299,0.00019020124515696952,0.13814945356741812,0.9655176257161368,-95.89801594131141,13.370652918161625,,
37,0.14682539682539683,rebalance,113.36331344545057,0.9755943590027373,-95.89801594131141,-0.015223115444074523,0.010076733286600525,0.0011423318740751008,0.13929178544149323,0.9755943590027373,-97.05671326270466,13.539895852536077,,
38,0.15079365079365079,rebalance,113.50447355520974,0.9749517791261857,-97.05671326270466,-0.015407050251433876,-0.0006425798765515855,7.293569060515938e-05,0.13936472113209838,0.9749517791261857,-96.99925755804155,13.662130873391291,,
39,0.15476190476190477,rebalance,114.05090867838123,0.988709567844398,-96.99925755804155,-0.015397929574468646,0.013757788718212316,0.0015690883047172965,0.1409338094368157,0.988709567844398,-98.58531288063803,14.177911751025178,,
40,0.15873015873015872,rebalance,114.45803710558432,0.9894586477954309,-98.58531288063803,-0.015649704369177134,0.0007490799510329049,8.573822083037353e-05,0.14101954765764607,0.9894586477954309,-98.6867865440584,14.564708079752322,,
41,0.1626984126984127,rebalance,114.79080012616464,0.9901490123067809,-98.6867865440584,-0.015665812578274253,0.0006903645113499612,7.924749463657071e-05,0.14109879515228263,0.9901490123067809,-98.78177909876788,14.878218268059129,,
42,0.16666666666666666,rebalance,113.51959325542705,0.9785673602445456,-98.78177909876788,-0.015680891958306006,-0.01158165206223527,0.001314744431330826,0.14241353958361347,0.9785673602445456,-97.4840303038267,13.60253840417107,,
43,0.17063492063492064,rebalance,114.565725156785,0.9876947912253482,-97.4840303038267,-0.015474883736666794,0.009127430980802598,0.001045690749134155,0.14345923033274763,0.9876947912253482,-98.54624162744666,14.609728362864729,,
44,0.1746031746031746,rebalance,114.6470517451635,0.9911548142784506,-98.54624162744666,-0.015643502090724983,0.0034600230531024456,0.00039668144200849466,0.14385591177475612,0.9911548142784506,-98.95896325298789,14.67401402706156,,
45,0.17857142857142858,rebalance,114.63165384315015,0.9967512696772237,-98.95896325298789,-0.01570901865944863,0.00559645539877307,0.0006415309380207834,0.1444974427127769,0.9967512696772237,-99.61684474060614,14.642401772753772,,
46,0.18253968253968253,rebalance,115.83824214986355,0.9990205940956082,-99.61684474060614,-0.015813452580591077,0.002269324418384455,0.00026287455149341676,0.14476031726427033,0.9990205940956082,-99.89579561923163,15.828993872315962,,
47,0.1865079365079365,rebalance,115.87232308884866,0.9991145933094283,-99.89579561923163,-0.015857734012139572,9.399921382013954e-05,1.0891907273864977e-05,0.14477120917154418,0.9991145933094283,-99.92255615242492,15.84717280630879,,
48,0.19047619047619047,rebalance,115.88487011197176,0.9993700376305574,-99.92255615242492,-0.015861982052958225,0.00025544432112911686,2.9602131974888512e-05,0.14480081130351907,0.9993700376305574,-99.96804986858473,15.843817136028747,,
