maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,contrast,difference,se,ci95_low,ci95_high,sim95_low,sim95_high,n_paths,first_half_difference,refinement_shift,refinement_se,refinement_margin,expanded_low,expanded_high,supported_sign
63,0.9,kappa_minus20,10,5,Heston_minus_BS,0.15948469541687,0.0147374604897018,0.1305912636057213,0.1883781272280186,0.101167551660646,0.2178018391730939,4096,0.1875257931378003,-0.00044216647172550807,0.0009789343873808354,0.0023608778709919456,0.09880667378965406,0.22016271704408585,positive
63,0.9,kappa_minus20,10,5,Adjusted_minus_Heston,-0.1748194427410546,0.0239107869500894,-0.2216975797698913,-0.1279413057122178,-0.2694360695925521,-0.080202815889557,4096,-0.2206835541947924,0.0006401243964161205,0.0016767031666901806,0.0039264626031288745,-0.273362532195681,-0.07627635328642812,negative
63,0.9,kappa_plus20,0,1,Heston_minus_BS,0.1186913732329993,0.0073602540290903,0.1042612753168179,0.1331214711491807,0.0895663423230457,0.1478164041429529,4096,0.1327378180441527,-0.0006198934355910485,0.0005811533290849008,0.001758953960597454,0.08780738836244824,0.14957535810355035,positive
63,0.9,kappa_plus20,0,1,Adjusted_minus_Heston,-0.1413552456359595,0.0119951935251541,-0.1648723438784115,-0.1178381473935075,-0.1888210505946193,-0.0938894406772997,4096,-0.1641298898765404,0.0010337524644550191,0.0010291064672922872,0.0030508011403479023,-0.19187185173496718,-0.09083863953695179,negative
63,0.9,kappa_plus20,0,5,Heston_minus_BS,0.1404463249380948,0.0122134837282266,0.116501259265167,0.1643913906110226,0.0921167306473417,0.1887759192288479,4096,0.1606142412005446,-0.0004120370218767238,0.0008481918516340725,0.002074493051079506,0.09004223759626219,0.1908504122799274,positive
63,0.9,kappa_plus20,0,5,Adjusted_minus_Heston,-0.1740805860117392,0.0204838462128073,-0.2142400567830685,-0.1339211152404099,-0.2551365729036051,-0.0930245991198733,4096,-0.2073410881159503,0.0007265888632882671,0.0015312373791069038,0.0037278141263377986,-0.2588643870299429,-0.08929678499353551,negative
63,0.9,kappa_plus20,5,1,Heston_minus_BS,0.1193085227129839,0.0078810429245443,0.1038573955326822,0.1347596498932857,0.0881226943607534,0.1504943510652145,4096,0.136822374910333,-0.0006072163931884174,0.0005910460165758167,0.001765666585677018,0.08635702777507638,0.1522600176508915,positive
63,0.9,kappa_plus20,5,1,Adjusted_minus_Heston,-0.1396412288174692,0.0127110959849489,-0.1645618849469783,-0.1147205726879601,-0.1899399089985907,-0.0893425486363478,4096,-0.1683545955939877,0.0010025366348156135,0.0010314130627370895,0.003024106237780309,-0.19296401523637102,-0.0863184423985675,negative
63,0.9,kappa_plus20,5,5,Heston_minus_BS,0.133607729803734,0.0126211179788311,0.1088634794658525,0.1583519801416154,0.0836650987751335,0.1835503608323345,4096,0.1561587130944534,-0.00038746691428547425,0.0008509671219707089,0.0020553624733480637,0.08160973630178545,0.18560572330568256,positive
63,0.9,kappa_plus20,5,5,Adjusted_minus_Heston,-0.1600214751788242,0.0211258046473723,-0.2014395333619845,-0.1186034169956638,-0.2436177357046862,-0.0764252146529621,4096,-0.197444056902175,0.0006786803744023012,0.0015299127721187268,0.0036773094077550057,-0.24729504511244121,-0.0727479052452071,negative
63,0.9,kappa_plus20,10,1,Heston_minus_BS,0.1180848699891406,0.0085483238047318,0.1013255096417981,0.1348442303364832,0.0842585653457019,0.1519111746325793,4096,0.1391202049659471,-0.0006008665400231998,0.0006101394896958251,0.001796739939827017,0.08246182540587489,0.15370791457240632,positive
