day,time_years,event,spot,target_holdings,cash_before,interest,trade,fees,cumulative_fees,holdings,cash_after,portfolio,payoff,terminal_error
10,0.03968253968253968,rebalance,105.07407346634169,0.7463209687345317,-69.75031296619454,-0.01107235698384551,0.009826979934452695,0.001032560811584948,0.09027060768799919,0.7463209687345317,-70.79497869557493,7.62400560270855,,
11,0.04365079365079365,rebalance,105.55061081994724,0.7700753869867903,-70.79497869557493,-0.011238190101900407,0.023754418252258658,0.002507293356198405,0.09277790104419759,0.7700753869867903,-73.31601753523144,7.965909938631526,,
12,0.047619047619047616,rebalance,105.81098803485473,0.787271650288715,-73.31601753523144,-0.01163838675788309,0.017196263301924697,0.0018195536104841656,0.09459745465468175,0.787271650288715,-75.14902908608397,8.152962082795597,,
13,0.051587301587301584,rebalance,106.76726622098408,0.8104659582808413,-75.14902908608397,-0.011929364065130272,0.023194307992126295,0.0024763928562068467,0.0970738475108886,0.8104659582808413,-77.63982769921215,8.891407031603421,,
14,0.05555555555555555,rebalance,105.42989511404134,0.7688283075561564,-77.63982769921215,-0.012324760304180683,-0.04163765072468495,0.004389853148698622,0.10146370065958722,0.7688283075561564,-73.2666891639664,7.790798662385086,,
15,0.05952380952380952,rebalance,106.02392117940019,0.7925133688372263,-73.2666891639664,-0.011630556236228759,0.023685061281069952,0.002511183070393424,0.10397488372998065,0.7925133688372263,-75.79201397366644,8.23336097755255,,
16,0.06349206349206349,rebalance,105.6935471356527,0.7808981002237482,-75.79201397366644,-0.012031433258912691,-0.011615268613478169,0.0012276589406919223,0.10520254267067257,0.7808981002237482,-74.57761412517412,7.958276038966247,,
17,0.06746031746031746,rebalance,106.51326297333848,0.8250651982414313,-74.57761412517412,-0.011838656078828183,0.04416709801768315,0.004704381725926703,0.10990692439659927,0.8250651982414313,-79.29853888890557,8.581847541533648,,
18,0.07142857142857142,rebalance,107.09213782643751,0.8468235581272272,-79.29853888890557,-0.012588068691546427,0.021758359885795886,0.002330149275766882,0.11223707367236616,0.8468235581272272,-81.64360638263976,9.044538818995477,,
19,0.07539682539682539,rebalance,107.62536707639305,0.8623368755095359,-81.64360638263976,-0.012960331170919407,0.015513317382308656,0.001669626477843558,0.11390670015020972,0.8623368755095359,-83.32786281813208,9.48145995209157,,
20,0.07936507936507936,rebalance,108.9482411766468,0.9065426370558822,-83.32786281813208,-0.013227694681032236,0.04420576154634637,0.004816139970348683,0.1187228401205584,0.9065426370558822,-88.16204662313214,10.604179235745505,,
21,0.08333333333333333,rebalance,109.6380185272059,0.9245061129740438,-88.16204662313214,-0.01399508634621985,0.01796347591816161,0.0019694799055284197,0.12069232002608683,0.9245061129740438,-90.1474910949123,11.213527247851033,,
22,0.0873015873015873,rebalance,109.95028100418165,0.9334681327182675,-90.1474910949123,-0.014310261275596972,0.008962019744223615,0.0009853765892424106,0.12167769661532925,0.9334681327182675,-91.14816332201954,11.486920178802691,,
23,0.09126984126984126,rebalance,110.78628064772548,0.9469015170231982,-91.14816332201954,-0.014469110743809696,0.013433384304930795,0.0014882346836548137,0.12316593129898407,0.9469015170231982,-92.65235535110182,12.251341859587228,,
24,0.09523809523809523,rebalance,110.22099490292958,0.9356757124209893,-92.65235535110182,-0.014707890333606317,-0.0112258046022089,0.0012373193518413505,0.12440325065082541,0.9356757124209893,-91.43098120894592,11.700126720602938,,
25,0.0992063492063492,rebalance,111.21247399002122,0.9558943189410563,-91.43098120894592,-0.014514006034917329,0.020218606520066906,0.0022485612517274146,0.12665181190255284,0.9558943189410563,-93.69630502795998,12.611067054481296,,
26,0.10317460317460317,rebalance,110.5336601482374,0.9474534661513458,-93.69630502795998,-0.014873609783509661,-0.008440852789710407,0.0009329983536191517,0.127584810256172,0.9474534661513458,-92.77911328247795,11.946386151364464,,
27,0.10714285714285714,rebalance,110.72996487557045,0.9515319478569003,-92.77911328247795,-0.014728012237108179,0.004078481705554471,0.0004516101360017032,0.1280364203921737,0.9515319478569003,-93.24590304085277,12.11719612332493,,
28,0.1111111111111111,rebalance,110.8217497187191,0.9589611358536159,-93.24590304085277,-0.014802111730305205,0.007429187996715547,0.0008233156127853225,0.128859736004959,0.9589611358536159,-94.08484408098118,12.188906906566828,,
29,0.11507936507936507,rebalance,111.64076182437513,0.9740650027383732,-94.08484408098118,-0.01493528754399944,0.015103866884757289,0.0016862072055082553,0.13054594321046725,0.9740650027383732,-95.78767278123895,12.957686190935078,,
30,0.11904761904761904,rebalance,111.60056485728703,0.9698308727823737,-95.78767278123895,-0.015205599266625397,-0.004234129955999477,0.0004725312947687016,0.13101847450523596,0.9698308727823737,-95.33081961703164,12.902853601516938,,
31,0.12301587301587301,rebalance,111.41860611963865,0.9696234746675385,-95.33081961703164,-0.015133077135781992,-0.00020739811483516668,2.3108008866775024e-05,0.13104158251410272,0.9696234746675385,-95.32286779330951,12.711228215028385,,
32,0.12698412698412698,rebalance,111.58932068853878,0.9711088176565356,-95.32286779330951,-0.015131814841360938,0.0014853429889970515,0.00016574841513166473,0.1312073309292344,0.9711088176565356,-95.50391377169768,12.861459505245193,,
33,0.13095238095238096,rebalance,112.98032511766725,0.9855960881057807,-95.50391377169768,-0.015160554579119176,0.014487270449245138,0.001636776525423289,0.1328441074546577,0.9855960881057807,-97.15748762822552,14.195478840666595,,
34,0.1349206349206349,rebalance,112.25590137986708,0.9785539665771995,-97.15748762822552,-0.015423047452054443,-0.007042121528581191,0.000790519699817449,0.13363462715447513,0.9785539665771995,-96.38318149555995,13.4652760714079,,
35,0.1388888888888889,rebalance,112.96550258803725,0.9808209079246827,-96.38318149555995,-0.015300131961771133,0.0022669413474831757,0.0002560861686560393,0.13389071332313118,0.9808209079246827,-96.65482388234642,14.14410293022037,,
36,0.14285714285714285,rebalance,113.17107626950578,0.9812099144985659,-96.65482388234642,-0.015343253223175384,0.00038900657388318827,4.4024292642273435e-05,0.13393473761577346,0.9812099144985659,-96.71423545250451,14.33034661760793,,
37,0.14682539682539683,rebalance,113.36331344545057,0.9877853603382681,-96.71423545250451,-0.015352684379621664,0.006575445839702265,0.0007454143277697518,0.1346801519435432,0.9877853603382681,-97.47574787898165,14.502873541872773,,
38,0.15079365079365079,rebalance,113.50447355520974,0.9867191639141033,-97.47574787898165,-0.01547356896171201,-0.0010661964241648336,0.00012101806383127654,0.1348011700073745,0.9867191639141033,-97.37032440217591,14.626714844731097,,
39,0.15476190476190477,rebalance,114.05090867838123,0.9952104496860417,-97.37032440217591,-0.01545683374834835,0.008491285771938362,0.00096843885813738,0.13576960886551187,0.9952104496860417,-98.35518853291977,15.149467579993697,,
40,0.15873015873015872,rebalance,114.45803710558432,0.9951802644557445,-98.35518853291977,-0.015613173795760982,-3.0185230297186116e-05,3.454942209395937e-06,0.13577306380772128,0.9951802644557445,-98.36735021944834,15.539029416372486,,
41,0.1626984126984127,rebalance,114.79080012616464,0.9952280013516185,-98.36735021944834,-0.015615104375410641,4.7736895874006535e-05,5.479756472916618e-06,0.1357785435641942,0.9952280013516185,-98.38845056005314,15.85456802306281,,
42,0.16666666666666666,rebalance,113.51959325542705,0.9876185338755958,-98.38845056005314,-0.015618453901652486,-0.007609467476022647,0.0008638236527684919,0.13664236721696268,0.9876185338755958,-97.54110918483907,14.572945072239776,,
43,0.17063492063492064,rebalance,114.565725156785,0.993198734904757,-97.54110918483907,-0.015483944595606793,0.005580201029161125,0.0006392997774264823,0.13728166699438918,0.993198734904757,-98.19653220663858,15.590001082526385,,
44,0.1746031746031746,rebalance,114.6470517451635,0.9952774300957147,-98.19653220663858,-0.015587988253107112,0.0020786951909577134,0.00023831627512015146,0.13751998326950934,0.9952774300957147,-98.45067478628695,15.654948242689784,,
45,0.17857142857142858,rebalance,114.63165384315015,0.9986077845906747,-98.45067478628695,-0.015628331546878798,0.0033303544949599972,0.0003817640436412335,0.13790174731315058,0.9986077845906747,-98.84844892551871,15.623612962754564,,
46,0.18253968253968253,rebalance,115.83824214986355,0.9996435752398076,-98.84844892551871,-0.015691475310415034,0.0010357906491329505,0.00011998416803082707,0.1380217314811814,0.9996435752398076,-98.98424455302799,16.812709979156182,,
47,0.1865079365079365,rebalance,115.87232308884866,0.9996494710748632,-98.98424455302799,-0.015713031882718255,5.895835055613752e-06,6.831641044426366e-07,0.13802241464528586,0.9996494710748632,-99.00064143217925,16.831065055803975,,
