maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,contrast,difference,se,ci95_low,ci95_high,sim95_low,sim95_high,n_paths,first_half_difference
63,0.9,xi_plus20,10,5,Heston_minus_BS,0.17540856717504405,0.016300461136472388,0.1434508046646001,0.207366329685488,0.11090652246709372,0.2399106118829944,4096,0.20649354167521974
63,0.9,xi_plus20,10,5,Adjusted_minus_Heston,-0.18163400155416023,0.02719477383580875,-0.23495053760143986,-0.1283174655068806,-0.2892455901524167,-0.0740224129559038,4096,-0.23389424202686682
63,0.9,rho_minus10pp,0,1,Heston_minus_BS,0.1446656484522017,0.00864254732392836,0.12772155880032163,0.16160973810408177,0.11046649486928381,0.1788648020351196,4096,0.16152223699827195
63,0.9,rho_minus10pp,0,1,Adjusted_minus_Heston,-0.15417073563041567,0.01459191814709655,-0.18277882535330967,-0.12556264590752167,-0.21191195833685883,-0.09642951292397252,4096,-0.18196783029039576
63,0.9,rho_minus10pp,0,5,Heston_minus_BS,0.170656583611282,0.01425363641195668,0.14271170993256677,0.19860145728999723,0.11425396497383987,0.2270592022487241,4096,0.19429353987977804
63,0.9,rho_minus10pp,0,5,Adjusted_minus_Heston,-0.19409323556179575,0.024950953475355843,-0.24301066427124632,-0.14517580685234519,-0.2928258728227366,-0.09536059830085493,4096,-0.23462851024861847
63,0.9,rho_minus10pp,5,1,Heston_minus_BS,0.14510736855784123,0.00926204373599456,0.12694872926548587,0.1632660078501966,0.10845682510730169,0.18175791200838076,4096,0.16599576910282599
63,0.9,rho_minus10pp,5,1,Adjusted_minus_Heston,-0.15200733017733356,0.015435812112639625,-0.18226991069708476,-0.12174474965758235,-0.2130878992886729,-0.09092676106599423,4096,-0.18713874837568506
63,0.9,rho_minus10pp,5,5,Heston_minus_BS,0.16299025636315542,0.014735057425931215,0.13410153586297138,0.19187897686333946,0.10468262169538445,0.2212978910309264,4096,0.18938414177150825
63,0.9,rho_minus10pp,5,5,Adjusted_minus_Heston,-0.1767141833318142,0.025730884808812936,-0.22716070131796667,-0.12626766534566175,-0.2785330624676685,-0.07489530419595992,4096,-0.22238245878624657
63,0.9,rho_minus10pp,10,1,Heston_minus_BS,0.14334854523315138,0.010041355498646884,0.12366203135958474,0.163035059106718,0.10361421159194302,0.18308287887435976,4096,0.16833264964543931
63,0.9,rho_minus10pp,10,1,Adjusted_minus_Heston,-0.1464138383496681,0.016657645134903424,-0.1790718756130053,-0.11375580108633088,-0.21232928468122114,-0.08049839201811503,4096,-0.1889818226350938
63,0.9,rho_minus10pp,10,5,Heston_minus_BS,0.15497779981954823,0.015267370198013344,0.1250454569942624,0.18491014264483407,0.09456376693788691,0.21539183270120954,4096,0.1841481184051294
63,0.9,rho_minus10pp,10,5,Adjusted_minus_Heston,-0.1588969470577431,0.026622236568191654,-0.21109099890818328,-0.10670289520730292,-0.2642429663494862,-0.053550927766000025,4096,-0.20973022930925306
63,0.9,rho_plus10pp,0,1,Heston_minus_BS,0.11991505117123372,0.007053271351520424,0.10608680613654212,0.13374329620592532,0.09200477180894492,0.1478253305335225,4096,0.13285934765648372
63,0.9,rho_plus10pp,0,1,Adjusted_minus_Heston,-0.14318469958754398,0.010441404883690749,-0.16365552766747837,-0.12271387150760958,-0.18450205613242657,-0.1018673430426614,4096,-0.1631660399435954
63,0.9,rho_plus10pp,0,5,Heston_minus_BS,0.1436809795748959,0.011756137801542013,0.12063256046845103,0.16672939868134076,0.09716113453988653,0.19020082460990526,4096,0.1625638768447754
63,0.9,rho_plus10pp,0,5,Adjusted_minus_Heston,-0.17410230785050246,0.01780580846766437,-0.2090113692293154,-0.1391932464716895,-0.24456111537912426,-0.10364350032188066,4096,-0.20317287548533947
63,0.9,rho_plus10pp,5,1,Heston_minus_BS,0.12096132259703582,0.007491794158067527,0.1062733345409834,0.13564931065308825,0.09131577835870816,0.15060686683536348,4096,0.13727061332427887
63,0.9,rho_plus10pp,5,1,Adjusted_minus_Heston,-0.14220325769069653,0.011080915020714214,-0.1639278731887236,-0.12047864219266947,-0.18605119978798282,-0.09835531559341024,4096,-0.16735553084320254
63,0.9,rho_plus10pp,5,5,Heston_minus_BS,0.13681585184357042,0.012127308504525536,0.11303973644206547,0.16059196724507538,0.08882725883402949,0.18480444485311137,4096,0.15809421345449276
63,0.9,rho_plus10pp,5,5,Adjusted_minus_Heston,-0.16241764237604814,0.01836867048705229,-0.19843021920704054,-0.12640506554505573,-0.2351037335891623,-0.08973155116293396,4096,-0.1951029832927424
63,0.9,rho_plus10pp,10,1,Heston_minus_BS,0.1208924946056991,0.008093434201392729,0.10502496509616355,0.13676002411523466,0.08886621937775396,0.15291876983364425,4096,0.1406204034421782
63,0.9,rho_plus10pp,10,1,Adjusted_minus_Heston,-0.13861398409867165,0.01197517960028249,-0.16209184417156536,-0.11513612402577794,-0.18600059258147422,-0.09122737561586908,4096,-0.1690112906053185
63,0.9,rho_plus10pp,10,5,Heston_minus_BS,0.12990816555522994,0.012551071833242812,0.10530124373012753,0.15451508738033234,0.08024271193753403,0.17957361917292586,4096,0.15359790521955563
63,0.9,rho_plus10pp,10,5,Adjusted_minus_Heston,-0.15037132645354412,0.019007492375957717,-0.18763634136228105,-0.11310631154480719,-0.22558527977396997,-0.07515737313311827,4096,-0.18669425461678774
63,1.0,reference,0,1,Heston_minus_BS,0.3854287048764937,0.011251766299439716,0.3633691280209687,0.40748828173201873,0.34090469253024347,0.429952717222744,4096,0.40422417829189045
63,1.0,reference,0,1,Adjusted_minus_Heston,-0.5238898223436461,0.020486454289733703,-0.5640544063631422,-0.4837252383241501,-0.6049561295751086,-0.44282351511218365,4096,-0.55994946580352
63,1.0,reference,0,5,Heston_minus_BS,0.43096730568150066,0.015405324158078045,0.4007644981217382,0.4611701132412631,0.37000737950116314,0.4919272318618382,4096,0.45544812623749525
63,1.0,reference,0,5,Adjusted_minus_Heston,-0.5888283726739558,0.02825233621831107,-0.6442183057360209,-0.5334384396118907,-0.7006248082839928,-0.4770319370639189,4096,-0.632875892218714
63,1.0,reference,5,1,Heston_minus_BS,0.3584475045206046,0.011390742815249174,0.33611545816562294,0.38077955087558624,0.3133735525523372,0.403521456488872,4096,0.38048423231943085
63,1.0,reference,5,1,Adjusted_minus_Heston,-0.46236597695368115,0.020725797516928525,-0.5029998037724537,-0.42173215013490867,-0.5443793817802247,-0.38035257212713763,4096,-0.5049470769424985
63,1.0,reference,5,5,Heston_minus_BS,0.40483690660077487,0.01572041959933424,0.37401634073371776,0.435657472467832,0.3426301261094447,0.46704368709210503,4096,0.43117655358871887
63,1.0,reference,5,5,Adjusted_minus_Heston,-0.5341325156161939,0.028839664579077627,-0.5906739314560701,-0.4775910997763178,-0.6482530499046202,-0.4200119813277676,4096,-0.581878293975271
63,1.0,reference,10,1,Heston_minus_BS,0.33356779172685835,0.011797330466816195,0.3104386126098234,0.3566969708438933,0.2868849444850458,0.3802506389686709,4096,0.35891216142622906
