maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,strategy,coarse_mse,fine_mse,mse_refinement_shift,mse_refinement_se
63,0.9,theta_plus20,0,5,BS,0.9573204606235226,0.9595084474319495,0.002187986808427077,0.0033189566444119002
63,0.9,theta_plus20,0,5,Heston,1.0321182390168944,1.0340000826934883,0.0018818436765939178,0.0030605175677053433
63,0.9,theta_plus20,0,5,Adjusted,0.9804761176835699,0.9830553125365199,0.0025791948529499866,0.0037773663770142153
63,0.9,theta_plus20,5,1,BS,0.5582275370527594,0.55897574126978,0.0007482042170205451,0.0013186685266628878
63,0.9,theta_plus20,5,1,Heston,0.6440410448171325,0.6442761533774912,0.00023510856035867107,0.0014177116665881815
63,0.9,theta_plus20,5,1,Adjusted,0.5654953405170242,0.5666982048118772,0.0012028642948529455,0.0014264798147286982
63,0.9,theta_plus20,5,5,BS,0.9129561078397588,0.9146940506513408,0.001737942811581949,0.0032356748903360774
63,0.9,theta_plus20,5,5,Heston,0.9816467503069525,0.9831035320390704,0.0014567817321179798,0.0030277524081611263
63,0.9,theta_plus20,5,5,Adjusted,0.9433910996474832,0.9454943359947636,0.002103236347280439,0.003652229843505744
63,0.9,theta_plus20,10,1,BS,0.5773918519558126,0.5777459106249443,0.00035405866913169995,0.0014455932811347008
63,0.9,theta_plus20,10,1,Heston,0.6622686227571988,0.6621164187854559,-0.00015220397174281773,0.001622116114508164
63,0.9,theta_plus20,10,1,Adjusted,0.5849841198722466,0.5857757948431301,0.0007916749708833963,0.0014515839579102069
63,0.9,theta_plus20,10,5,BS,0.8972498198377674,0.898541170606362,0.0012913507685946078,0.0031830168269453485
63,0.9,theta_plus20,10,5,Heston,0.9594691724332285,0.9605033448351463,0.0010341724019178788,0.003029645863043284
63,0.9,theta_plus20,10,5,Adjusted,0.934956469849773,0.9365879507199597,0.0016314808701867658,0.003551447864941959
63,0.9,xi_minus20,0,1,BS,0.5928046736477202,0.5939761227466976,0.0011714490989775486,0.001291242112995161
63,0.9,xi_minus20,0,1,Heston,0.6774117749728749,0.6781321461150486,0.0007203711421736298,0.0012916484193484076
63,0.9,xi_minus20,0,1,Adjusted,0.5851329247956172,0.5867198430397257,0.001586918244108457,0.0014155331923355532
63,0.9,xi_minus20,0,5,BS,0.9573204606235226,0.9595084474319495,0.002187986808427077,0.0033189566444119002
63,0.9,xi_minus20,0,5,Heston,1.0331348216179888,1.0349649021733933,0.0018300805554048814,0.0030541500563514502
63,0.9,xi_minus20,0,5,Adjusted,0.9587446490824038,0.9611649909607511,0.0024203418783473206,0.003595397550804952
63,0.9,xi_minus20,5,1,BS,0.5582275370527594,0.55897574126978,0.0007482042170205451,0.0013186685266628878
63,0.9,xi_minus20,5,1,Heston,0.6449735551423208,0.6453040969296915,0.0003305417873705816,0.0014218210594122468
63,0.9,xi_minus20,5,1,Adjusted,0.550808169321739,0.5519822772826228,0.0011741079608837612,0.001383418892693825
63,0.9,xi_minus20,5,5,BS,0.9129561078397588,0.9146940506513408,0.001737942811581949,0.0032356748903360774
63,0.9,xi_minus20,5,5,Heston,0.982671965269476,0.9840750263935929,0.0014030611241170098,0.003025350538658746
63,0.9,xi_minus20,5,5,Adjusted,0.9186428886944376,0.9205985441350568,0.0019556554406192353,0.003486387456680865
63,0.9,xi_minus20,10,1,BS,0.5773918519558126,0.5777459106249443,0.00035405866913169995,0.0014455932811347008
63,0.9,xi_minus20,10,1,Heston,0.6652337675368775,0.6651985279119897,-3.523962488777272e-05,0.001630625025554241
63,0.9,xi_minus20,10,1,Adjusted,0.5717547487620712,0.5725509587687599,0.0007962100066886853,0.0014532811528888783
63,0.9,xi_minus20,10,5,BS,0.8972498198377674,0.898541170606362,0.0012913507685946078,0.0031830168269453485
63,0.9,xi_minus20,10,5,Heston,0.9608176378514469,0.9617967336661026,0.000979095814655634,0.0030320182824139547
63,0.9,xi_minus20,10,5,Adjusted,0.9074895568614028,0.9089850256947754,0.0014954688333724368,0.0034046562154594682
63,0.9,xi_plus20,0,1,BS,0.5928046736477202,0.5939761227466976,0.0011714490989775486,0.001291242112995161
63,0.9,xi_plus20,0,1,Heston,0.7272826685674885,0.7275211753017324,0.00023850673424388128,0.0013704778655062194
63,0.9,xi_plus20,0,1,Adjusted,0.6057791842596061,0.6073459574232175,0.0015667731636113578,0.0015198486234829487
63,0.9,xi_plus20,0,5,BS,0.9573204606235226,0.9595084474319495,0.002187986808427077,0.0033189566444119002
63,0.9,xi_plus20,0,5,Heston,1.0803877118235763,1.0820114392947795,0.0016237274712033471,0.0030362536116369412
63,0.9,xi_plus20,0,5,Adjusted,0.9876274587607838,0.9901437779168881,0.0025163191561043225,0.0038244569161320213
63,0.9,xi_plus20,5,1,BS,0.5582275370527594,0.55897574126978,0.0007482042170205451,0.0013186685266628878
63,0.9,xi_plus20,5,1,Heston,0.6970259217454798,0.6968307277059127,-0.00019519403956710804,0.0015408424237030418
63,0.9,xi_plus20,5,1,Adjusted,0.5726480966263241,0.5737424454407825,0.0010943488144583135,0.0014520972651284542
63,0.9,xi_plus20,5,5,BS,0.9129561078397588,0.9146940506513408,0.001737942811581949,0.0032356748903360774
63,0.9,xi_plus20,5,5,Heston,1.0292210502851118,1.0304179353689988,0.0011968850838872057,0.0030303974879243595
63,0.9,xi_plus20,5,5,Adjusted,0.9522821984824048,0.9543065043895261,0.002024305907121262,0.003700253564212399
63,0.9,xi_plus20,10,1,BS,0.5773918519558126,0.5777459106249443,0.00035405866913169995,0.0014455932811347008
63,0.9,xi_plus20,10,1,Heston,0.7182493250654906,0.7176413562617405,-0.0006079688037501773,0.0017794583458533252
63,0.9,xi_plus20,10,1,Adjusted,0.5945540904520253,0.5952104095750292,0.0006563191230039267,0.0014831482020014506
63,0.9,xi_plus20,10,5,BS,0.8972498198377674,0.898541170606362,0.0012913507685946078,0.0031830168269453485
63,0.9,xi_plus20,10,5,Heston,1.006384616128402,1.0071566444928162,0.0007720283644141255,0.0030605949565410974
63,0.9,xi_plus20,10,5,Adjusted,0.9457102525086094,0.9472465668517942,0.0015363143431847473,0.0036009216730158336
63,0.9,rho_minus10pp,0,1,BS,0.5928046736477202,0.5939761227466976,0.0011714490989775486,0.001291242112995161
63,0.9,rho_minus10pp,0,1,Heston,0.7111728100032249,0.7115940469090949,0.00042123690586992445,0.0013353853929906267
63,0.9,rho_minus10pp,0,1,Adjusted,0.6102735683427285,0.6119129904337939,0.0016394220910653694,0.0015368531288803182
63,0.9,rho_minus10pp,0,5,BS,0.9573204606235226,0.9595084474319495,0.002187986808427077,0.0033189566444119002
63,0.9,rho_minus10pp,0,5,Heston,1.0642923404691684,1.066033944482138,0.0017416040129698213,0.003032347565926499
63,0.9,rho_minus10pp,0,5,Adjusted,0.9928047428578526,0.9953607951499683,0.002556052292115764,0.0038567593590556034
63,0.9,rho_minus10pp,5,1,BS,0.5582275370527594,0.55897574126978,0.0007482042170205451,0.0013186685266628878
63,0.9,rho_minus10pp,5,1,Heston,0.6792909536068589,0.6792919569590137,1.0033521548285357e-06,0.0014885938334807676
63,0.9,rho_minus10pp,5,1,Adjusted,0.57600434139823,0.5771806086421076,0.0011762672438776927,0.0014561329490900819
63,0.9,rho_minus10pp,5,5,BS,0.9129561078397588,0.9146940506513408,0.001737942811581949,0.0032356748903360774
